sorcerer,roy scheider,bruno cremer,francisco rabal,amidou,ramon bieri,peter capell,karl john,friedrich von ledebur
stand by me,wil wheaton,river phoenix,corey feldman,jerry o'connell,kiefer sutherland,casey siemaszko,gary riley,bradley gregg
network,faye dunaway,william holden,peter finch,robert duvall,wesley addy,ned beatty,arthur burghardt,bill burrows
the handmaiden,kim tae-ri,yong-nyeo lee,min-chae yoo,dong-hwi lee,kim hae-sook,kim min-hee,ha jung-woo,kyu-jung lee
logan,hugh jackman,patrick stewart,dafne keen,boyd holbrook,stephen merchant,elizabeth rodriguez,richard e. grant,eriq la salle
gangs of wasseypur,manoj bajpayee,richa chadha,nawazuddin siddiqui,tigmanshu dhulia,jameel khan,piyush mishra,jaideep ahlawat,huma qureshi
la haine,vincent cassel,hubert koundé,saïd taghmaoui,abdel ahmed ghili,solo,joseph momo,héloïse rauth,rywka wajsbrot
a silent voice: the movie,miyu irino,saori hayami,aoi yûki,kenshô ono,yûki kaneko,yui ishikawa,megumi han,toshiyuki toyonaga
cool hand luke,paul newman,george kennedy,j.d. cannon,lou antonio,robert drivas,strother martin,jo van fleet,clifton james
hachi: a dog's tale,richard gere,joan allen,cary-hiroyuki tagawa,sarah roemer,jason alexander,erick avari,davenia mcfadden,robbie sublett
the 400 blows,jean-pierre léaud,claire maurier,albert rémy,guy decomble,georges flamant,patrick auffay,daniel couturier,françois nocher
platoon,keith david,forest whitaker,francesco quinn,kevin dillon,john c. mcginley,reggie johnson,mark moses,corey glover
spotlight,mark ruffalo,michael keaton,rachel mcadams,liev schreiber,john slattery,brian d'arcy james,stanley tucci,elena wohl
"monsters, inc.",john goodman,billy crystal,mary gibbs,steve buscemi,james coburn,jennifer tilly,bob peterson,john ratzenberger
rebecca,lily james,jacques bouanich,marie collins,ann dowd,kristin scott thomas,armie hammer,jean dell,sophie payan
life of brian,graham chapman,john cleese,terry gilliam,eric idle,terry jones,michael palin,terence bayler,carol cleveland
in the mood for love,maggie cheung,tony chiu-wai leung,siu ping-lam,tung cho 'joe' cheung,rebecca pan,kelly lai chen,man-lei chan,kam-wah koo
the bandit,sener sen,ugur yücel,sermin hürmeriç,yesim salkim,kamran usluer,ülkü duru,özkan ugur,necdet mahfi ayral
hotel rwanda,xolani mali,don cheadle,desmond dube,hakeem kae-kazim,tony kgoroge,rosie motene,neil mccarthy,mabutho 'kid' sithole
rush,chris hemsworth,daniel brühl,olivia wilde,alexandra maria lara,pierfrancesco favino,david calder,natalie dormer,stephen mangan
rocky,sylvester stallone,talia shire,burt young,carl weathers,burgess meredith,thayer david,joe spinell,jimmy gambina
amores perros,emilio echevarría,gael garcía bernal,goya toledo,álvaro guerrero,vanessa bauche,jorge salinas,marco pérez,rodrigo murray
demon slayer: mugen train,natsuki hanae,akari kitô,hiro shimono,yoshitsugu matsuoka,satoshi hino,takahiro sakurai,katsuyuki konishi,saori hayami
into the wild,emile hirsch,marcia gay harden,william hurt,jena malone,brian h. dierker,catherine keener,vince vaughn,kristen stewart
nausicaä of the valley of the wind,sumi shimamoto,mahito tsujimura,hisako kyôda,gorô naya,ichirô nagai,kôhei miyauchi,jôji yanami,minoru yada
drishyam,ajay devgn,shriya saran,tabu,rajat kapoor,ishita dutta,mrunal jadhav,prasanna ketkar,yogesh sonam
before sunset,ethan hawke,julie delpy,vernon dobtcheff,louise lemoine torrès,rodolphe pauly,mariane plasteig,diabolo,denis evrard
it happened one night,clark gable,claudette colbert,walter connolly,roscoe karns,jameson thomas,alan hale,arthur hoyt,blanche friderici
miracle in cell no. 7,aras bulut iynemli,nisa sofiya aksongur,deniz baysal,celile toyon uysal,ilker aksum,mesut akusta,yurdaer okur,sarp akkaya
andrei rublev,anatoliy solonitsyn,ivan lapikov,nikolay grinko,nikolay sergeev,irina tarkovskaya,nikolay burlyaev,yuriy nazarov,yuriy nikulin
the battle of algiers,brahim hadjadj,jean martin,yacef saadi,samia kerbash,ugo paletti,fusia el kader,mohamed ben kassen,franco moruzzi
fanny and alexander,kristina adolphson,börje ahlstedt,pernilla allwin,kristian almgren,carl billquist,axel düberg,allan edwall,siv ericks
nights of cabiria,giulietta masina,françois périer,franca marzi,dorian gray,aldo silvani,ennio girolami,mario passante,christian tassou
drishyam 2,mohanlal,meena,ansiba,esther anil,siddique,asha sharath,saikumar,murali gopy
